name,age,gender,salary,education,years of service
Thomas Reese,58,Male,65085,Ph.D.,14
Martin Harper,53,Female,63208,Ph.D.,29
Sarah Williams,48,Female,62685,Ph.D.,5
Natasha Rhodes,65,Female,97102,Bachelor's,24
Daniel Moreno,65,Male,77237,Ph.D.,6
Cynthia Williams,31,Female,81189,Bachelor's,18
Regina Webb,34,Male,68193,Ph.D.,28
Scott Hurst,53,Female,63995,M.S.,15
Heather Walters,43,Female,62025,Ph.D.,7
James Rose,43,Male,51065,M.S.,14
Scott Williams,62,Male,54410,Bachelor's,8
Mark Guerrero,55,Male,77560,Bachelor's,19
Richard Ellis,47,Female,54963,Ph.D.,14
Roger Green,58,Female,61978,Bachelor's,9
Megan Golden,43,Female,96809,M.S.,7
Deanna Wilkerson,61,Male,88508,M.S.,25
Andrew Ball,30,Male,83126,Ph.D.,3
Allison Keller,36,Male,93764,M.S.,24
Heather Davila,39,Male,62469,Ph.D.,6
John Harrison,29,Male,87046,Ph.D.,26
Jeffrey Garcia DVM,32,Male,96940,M.S.,25
Ralph Moore,36,Male,98651,M.S.,4
Manuel Henry,55,Male,91805,Bachelor's,9
Christopher Pugh,52,Male,66374,Ph.D.,23
Todd Mann,42,Male,91895,M.S.,27
Jacqueline Alexander,58,Male,83595,M.S.,13
Jonathan Hardy,46,Male,90586,Bachelor's,30
Jodi Olsen,60,Male,67824,Bachelor's,17
Donna Hunt,55,Female,70437,M.S.,22
Joel Swanson MD,34,Female,71951,Bachelor's,25
Kathryn Swanson,65,Male,78224,M.S.,10
David Brady,43,Female,59312,M.S.,9
Tamara Scott,54,Female,69970,Ph.D.,3
Anthony Torres,50,Female,91899,Ph.D.,3
Vincent Thompson,28,Female,74685,Ph.D.,1
Melissa Adams,53,Female,81506,Bachelor's,17
Catherine Cooley,30,Male,56589,Bachelor's,7
Monica Mueller MD,54,Male,94098,Bachelor's,27
Nicole Lee,41,Male,54965,Bachelor's,9
Emily White,55,Male,50608,Bachelor's,27
Jeremy Thompson,61,Male,77711,Ph.D.,17
Tracy Black,34,Male,67068,Bachelor's,2
Michael Eaton,35,Female,54520,Ph.D.,29
Logan Jordan,37,Female,71127,Ph.D.,13
Lisa Robbins,37,Female,97357,Bachelor's,9
Kayla Gutierrez,43,Female,74381,Bachelor's,28
Olivia Price,56,Female,67125,Ph.D.,3
Paul Ellis,37,Male,85172,Ph.D.,12
Shannon Roberts,26,Male,92995,Ph.D.,25
Justin Brooks,62,Female,96675,Bachelor's,28
Austin Mckenzie,65,Female,97831,M.S.,26
Chloe Olsen,53,Female,72569,Bachelor's,18
Debra Patterson,64,Female,68919,M.S.,8
Adam Wright,30,Male,88486,Ph.D.,17
Suzanne Jones,56,Male,93262,M.S.,15
Stephen Robinson,40,Male,73856,M.S.,2
David Rodriguez,39,Female,55457,Bachelor's,20
Taylor Richmond,46,Male,66162,Bachelor's,23
Ethan Keller,25,Female,96833,M.S.,21
Mr. Edward Soto,64,Male,93332,Ph.D.,15
Benjamin Boone,27,Male,55520,M.S.,7
Stephen Hart,60,Female,81872,Bachelor's,1
John Brown Jr.,39,Male,91530,M.S.,25
Laura Hartman,51,Male,85558,Bachelor's,16
Peggy Stevenson,42,Male,75174,M.S.,17
Gary Andersen,41,Female,73056,Bachelor's,2
Andrew Grimes,35,Male,92466,Ph.D.,8
Sheila Edwards,64,Female,80638,Bachelor's,6
Deanna Huffman,56,Female,92465,Ph.D.,1
Bobby Hebert,41,Female,99372,M.S.,24
Alicia Bradford,26,Female,95817,Bachelor's,19
Jason Foley,26,Male,97897,M.S.,22
Patrick Chang,58,Male,95753,Ph.D.,11
John Holt,47,Male,84647,M.S.,6
Brandon Moore,26,Male,91568,Bachelor's,4
Jared Rhodes,61,Male,70460,Bachelor's,4
Stacey Lopez,32,Male,86640,Bachelor's,18
Amanda Lee,33,Male,77631,Bachelor's,18
Thomas Arias,64,Female,53600,Ph.D.,5
Jacob Brooks,50,Female,62568,Ph.D.,20
Brianna Williams,56,Male,58844,Bachelor's,9
Paul Perez,63,Female,99582,Ph.D.,20
Mike Bradley,47,Female,66343,Bachelor's,13
Sharon Owens,40,Male,78914,M.S.,20
Christopher Johnson,36,Female,51483,Bachelor's,27
Lisa Barrett,26,Male,64343,M.S.,13
Courtney Kramer,34,Female,61620,M.S.,13
William Wade,50,Male,54801,Bachelor's,3
Taylor Holmes,52,Male,76698,M.S.,7
Matthew Bernard,44,Female,92200,Ph.D.,10
Raven Carlson,27,Male,52826,M.S.,16
James Thomas,31,Female,75485,M.S.,22
Kim Turner,30,Female,85106,M.S.,21
Jose Grant,48,Female,71561,Ph.D.,3
Juan Garcia,39,Male,76594,M.S.,19
Michelle Nunez,35,Male,55615,Bachelor's,8
Austin Mcfarland,57,Female,79879,Bachelor's,17
Stephanie Collins,52,Female,73995,Ph.D.,3
Tiffany Oliver,50,Male,88778,Bachelor's,15
Anita Gomez,50,Male,55858,M.S.,15
Martha Lowe,30,Male,85018,Bachelor's,7
Joseph Mitchell,56,Female,63447,Bachelor's,8
Elizabeth Morris,47,Female,51908,Bachelor's,14
Keith Robbins,44,Male,98758,Bachelor's,6
Beth Carter,25,Female,92557,M.S.,1
Victoria Hill,52,Female,83751,Bachelor's,17
James Mercado,30,Female,55335,Ph.D.,20
Dr. Tina Andrade,38,Female,63632,M.S.,11
Cheryl Ortega,35,Male,97533,Ph.D.,26
Angela Ramirez,39,Female,52165,M.S.,9
Barbara Chandler,28,Female,72152,M.S.,29
Brian Evans,41,Male,68605,Bachelor's,23
Adriana Bell,36,Male,60697,Bachelor's,7
Daniel Richards,65,Male,55099,Ph.D.,9
Ashley Romero,45,Male,90932,M.S.,27
Jaime Bailey,54,Male,50560,M.S.,5
Breanna Reed,27,Female,64455,Ph.D.,28
Marcus Chavez,55,Female,64111,Ph.D.,13
Evan Floyd,55,Male,99295,Bachelor's,30
Kyle Dean,28,Female,68956,M.S.,7
Carolyn Phillips,33,Male,81842,M.S.,25
Jennifer Spencer,56,Female,80075,M.S.,2
Nicole Wallace,34,Male,82301,Bachelor's,26
Becky Ramos,33,Male,54490,Bachelor's,3
Wayne Guerrero,42,Male,72907,M.S.,10
James Molina DVM,34,Male,58720,Ph.D.,22
Morgan Gonzalez,38,Male,75034,M.S.,2
Diana Valdez,33,Male,56878,Bachelor's,30
Bridget Russell,36,Male,70444,Bachelor's,3
Lindsey Mays,58,Male,82575,M.S.,24
Thomas Mcdaniel,56,Female,80062,Ph.D.,3
Jane Smith,30,Female,77548,M.S.,25
Charles Carlson,35,Female,50137,Bachelor's,5
Jordan Peters,50,Male,72538,Ph.D.,1
Brian King,59,Female,53373,Bachelor's,3
Lisa Oconnor,37,Male,68559,Bachelor's,28
James Mayer,32,Female,76102,Ph.D.,7
Jerry Roach,34,Male,88583,Bachelor's,22
Megan Diaz,37,Male,83326,Ph.D.,29
Jessica Foster,44,Female,84566,Ph.D.,26
Shannon Roman,35,Male,65439,M.S.,23
Vincent Acosta,58,Male,63719,Ph.D.,28
John Chan,37,Female,90425,Bachelor's,6
Deborah Mccarthy,36,Male,91594,Bachelor's,21
Pamela Barker,31,Female,58602,M.S.,8
Sabrina Ibarra,27,Male,82130,Bachelor's,14
Nathan Brown,30,Male,75323,Ph.D.,1
Amanda Sparks,57,Female,61760,Ph.D.,20
Dr. Pamela Johnston,41,Female,57153,M.S.,9
Julie Carlson,36,Female,93492,M.S.,2
Louis Harris PhD,25,Female,70811,M.S.,2
Megan Jimenez,53,Female,75725,Ph.D.,17
Ann Evans,45,Male,93063,Bachelor's,25
Robert Henson,59,Male,73733,Ph.D.,2
Mason Smith,44,Female,63556,M.S.,21
Benjamin Andrade,38,Male,77647,Ph.D.,8
Ralph Bennett,46,Male,64225,M.S.,2
Amanda Parker,40,Female,59080,Bachelor's,24
Evan Moore,44,Female,60965,Bachelor's,3
Allison Li,52,Male,79266,Bachelor's,20
Michael Molina,43,Male,98154,Ph.D.,25
Cynthia Palmer,46,Male,91299,M.S.,9
Kara Gonzales,49,Male,66256,M.S.,12
David Williams,44,Male,59770,Ph.D.,12
Melissa May,60,Female,63383,Bachelor's,8
Marie Taylor,44,Female,88707,M.S.,30
Lori Norman,50,Female,94073,Bachelor's,25
Joel Arnold,46,Male,84991,Bachelor's,1
Jeffery King,57,Female,60120,M.S.,21
Amanda Gallegos,51,Male,84272,Ph.D.,7
Stephanie Hill,59,Female,95303,M.S.,27
Laura Donovan,37,Female,69645,Ph.D.,10
Breanna Phillips,54,Male,73235,Bachelor's,17
Jessica Smith,32,Male,92562,Bachelor's,25
Casey Christian,64,Male,92530,Ph.D.,21
Erin Christensen,36,Female,84257,Ph.D.,28
Amy Hall,26,Female,57271,M.S.,19
Joanna Vega,62,Male,88334,Ph.D.,19
Michael Martin,37,Male,90584,Ph.D.,30
Regina Delgado,60,Female,65730,M.S.,9
Jasmine Hendrix,27,Female,55267,Bachelor's,12
Stephen Kelley,60,Female,69562,Bachelor's,16
Michael Smith,41,Male,81996,Bachelor's,18
Megan Luna,43,Male,63043,Bachelor's,30
Randy Gilbert,58,Male,58163,Ph.D.,24
Shannon Ross,48,Female,68317,Bachelor's,13
Susan Norris,59,Female,54180,Ph.D.,1
Craig Perkins,52,Male,77479,M.S.,15
Chelsea Bernard,45,Female,79174,M.S.,4
Derrick Hurley,62,Male,65674,Ph.D.,25
Chelsea Bowers,45,Female,72147,Ph.D.,15
Wayne White,51,Female,51422,Ph.D.,13
Kirsten Castaneda,61,Male,61246,Bachelor's,26
Patty Marquez,49,Female,57203,M.S.,30
Danielle West,29,Female,86445,Ph.D.,10
Brittany Pace,56,Male,77174,M.S.,15
Michele Johnson,41,Female,63395,Ph.D.,20
Sara Ramirez,58,Male,74715,Bachelor's,16
Christine Davis,65,Female,52929,Bachelor's,5
Dawn Ross,60,Female,65675,M.S.,30
Rodney King,63,Male,88234,Ph.D.,13
Ronald Rojas,52,Male,79069,Bachelor's,27
Mrs. Allison Parrish,54,Female,50387,M.S.,25
Jennifer Shelton,34,Female,58931,Bachelor's,15
Julia Jenkins,57,Female,53038,Ph.D.,29
Joshua Moore Jr.,45,Female,64378,Bachelor's,9
Pamela Carey,39,Male,84000,Bachelor's,10
Jesse Clark,35,Female,51881,Ph.D.,28
Courtney Kemp,54,Male,62139,Ph.D.,23
Jasmine Tapia,30,Female,77410,Ph.D.,20
Randall Smith,47,Female,82589,Bachelor's,13
Kimberly Barnes MD,42,Male,87995,Ph.D.,15
Christina Hahn,52,Female,61491,Bachelor's,3
Kaitlyn Bennett,50,Male,60315,Ph.D.,12
Alison Nielsen,26,Female,72900,Bachelor's,29
Jonathan Carlson,32,Female,98789,M.S.,4
Dale Wells,28,Male,56418,Ph.D.,5
Stacey Jones,43,Male,65636,Ph.D.,28
Jennifer Martin,57,Male,75998,Bachelor's,29
Roger Massey,46,Female,91959,Bachelor's,23
Christine Mason,33,Female,54477,M.S.,15
Jessica Johnson,63,Female,92547,Bachelor's,4
John Carter,51,Female,88855,M.S.,2
Leah Robinson,32,Male,65394,M.S.,12
Grace Shepherd,27,Male,64747,M.S.,12
Richard Watts,57,Female,53887,M.S.,13
Lauren Kidd,29,Female,98767,Ph.D.,23
Lisa Harris,28,Female,53994,Ph.D.,6
Gary Mason,34,Male,89309,M.S.,2
Kristina Bridges DVM,36,Male,92668,Bachelor's,25
Diana Garcia,65,Female,62319,Ph.D.,14
Tracy Murphy,51,Male,89063,Ph.D.,10
Jacob Garcia,60,Female,77109,M.S.,30
Christopher Hardin,64,Female,55753,Ph.D.,3
Kimberly Garcia,50,Female,90994,Bachelor's,5
Teresa Booth,43,Female,86735,M.S.,20
Angela Potts,52,Male,65453,Bachelor's,22
Kevin Mcfarland,47,Male,98364,Bachelor's,2
Jason Levy,48,Male,94683,M.S.,27
Tammy Cardenas,57,Male,65223,Ph.D.,10
Tammy Ortega,36,Male,72920,Bachelor's,11
Jeffrey Nguyen,52,Female,69818,M.S.,15
Christian Cook,62,Male,82596,Bachelor's,5
Michelle Palmer,41,Female,52554,M.S.,16
Jim Garcia,28,Female,87020,M.S.,5
Kimberly Adkins,44,Female,96575,M.S.,8
Heather Garcia,28,Female,78249,Ph.D.,23
Jordan Hernandez,62,Male,70648,M.S.,17
Jennifer Randall MD,31,Female,60385,Ph.D.,5
Dana Guerra,37,Female,94513,Bachelor's,20
Terry Lucas,50,Male,77645,M.S.,29
Lisa Gamble,63,Female,67471,Bachelor's,10
Stephanie Medina,32,Female,56678,Bachelor's,16
Alexa Wilson,52,Female,66045,M.S.,29
Tricia Stanley,42,Female,78299,Ph.D.,26
Phillip Sanders,59,Female,95980,Bachelor's,3
Timothy White,53,Female,97214,Bachelor's,6
Justin Wood,64,Female,59877,Ph.D.,10
Cameron Ortiz,36,Male,88708,M.S.,1
Michele Hall,32,Female,56373,Bachelor's,26
Jeff Scott,47,Male,82415,M.S.,28
Vincent Carter,26,Male,83551,M.S.,8
Kelsey Fletcher,43,Male,53213,Ph.D.,18
Ryan Kennedy,60,Female,50761,M.S.,16
Brianna Nelson,52,Female,82400,M.S.,2
Eric Gonzalez,50,Female,74172,Ph.D.,17
